waya	w a y a
yasuula	y a s u u l a
egisukka	e g i s u k k a
yeebazizza	y e e b a z i z z a
abalongoosa	a b a l o n g o o s a
oli	o l i
freehold	f r e e h o l d
amaka	a m a k a
kitubala	k i t u b a l a
kubeera	k u b e e r a
liriwa	l i r i w a
yalidde	y a l i d d e
kugumira	k u g u m i r a
basajja	b a s a j j a
babaggyako	b a b a g g y a k o
kukuumiramu	k u k u u m i r a m u
tiimu	t i i m u
babanjibwa	b a b a n j i b w a
gwa	g w a
ngabantu	n g a b a n t u
yokubudaabuda	y o k u b u d a a b u d a
endagaano	e n d a g a a n o
genguudo	g e n g u u d o
omuddo	o m u d d o
byayo	b y a y o
ruth	r u t h
byebyo	b y e b y o
obutali	o b u t a l i
ennungi	e n n u n g i
yeetaba	y e e t a b a
jjo	j j o
ki	k i
bagezaako	b a g e z a a k o
okukuumibwa	o k u k u u m i b w a
kungaanya	k u n g a a n y a
bwe	b w e
okujjanjabibwa	o k u j j a n j a b i b w a
bannaabwe	b a n n a a b w e
muwandiikiragana	m u w a n d i i k i r a g a n a
gulwayo	g u l w a y o
ekiso	e k i s o
ekole	e k o l e
kwava	k w a v a
alumiziddwa	a l u m i z i d d w a
okusenga	o k u s e n g a
nsinga	n s i n g a
okuzimbibwa	o k u z i m b i b w a
butya	b u t y a
okutumbula	o k u t u m b u l a
nekiwandiiko	n e k i w a n d i i k o
ssentebe	s s e n t e b e
yafumba	y a f u m b a
gaazo	g a a z o
omupiira	o m u p i i r a
ebizimba	e b i z i m b a
ogubadde	o g u b a d d e
kakalu	k a k a l u
ngebya	n g e b y a
bifuna	b i f u n a
okugyoza	o k u g y o z a
wempaka	w e m p a k a
ebitakwatibwa	e b i t a k w a t i b w a
okugoberera	o k u g o b e r e r a
bivujjiridde	b i v u j j i r i d d e
eyali	e y a l i
ekintu	e k i n t u
kyetaago	k y e t a a g o
emirundi	e m i r u n d i
lwenda	l w e n d a
byokka	b y o k k a
ekitongole	e k i t o n g o l e
nabadde	n a b a d d e
kyamawanga	k y a m a w a n g a
teyateekerateekera	t e y a t e e k e r a t e e k e r a
nankwatirako	n a n k w a t i r a k o
ebitafuna	e b i t a f u n a
okkulowoozesa	o k k u l o w o o z e s a
beera	b e e r a
line	l i n e
zi	z i
akutte	a k u t t e
kkampuni	k k a m p u n i
ebikiikirirwa	e b i k i i k i r i r w a
okubaga	o k u b a g a
lwakuba	l w a k u b a
abenkizo	a b e n k i z o
toyagala	t o y a g a l a
batuula	b a t u u l a
okuleetebwa	o k u l e e t e b w a
yaayo	y a a y o
mugattabantu	m u g a t t a b a n t u
okusinga	o k u s i n g a
baalya	b a a l y a
okutaasa	o k u t a a s a
bwabantu	b w a b a n t u
kkapa	k k a p a
omuganda	o m u g a n d a
okuziyiza	o k u z i y i z a
baabazinze	b a a b a z i n z e
mukulu	m u k u l u
yemu	y e m u
tamuliddemu	t a m u l i d d e m u
nzira	n z i r a
ssaati	s s a a t i
machine	m a c h i n e
kirungi	k i r u n g i
bwe	b w e
wabweru	w a b w e r u
kibi	k i b i
ensawo	e n s a w o
nnaku	n n a k u
namutegeera	n a m u t e g e e r a
babadde	b a b a d d e
kwekulula	k w e k u l u l a
batendekeddwa	b a t e n d e k e d d w a
ka	k a
agakumala	a g a k u m a l a
kkwata	k k w a t a
baweebwa	b a w e e b w a
kunoonya	k u n o o n y a
mukazi	m u k a z i
guwooma	g u w o o m a
byakamalirizo	b y a k a m a l i r i z o
obummonde	o b u m m o n d e
emmotoka	e m m o t o k a
okwefunira	o k w e f u n i r a
w’ebyobulamu	w ’ e b y o b u l a m u
yeddira	y e d d i r a
bukwata	b u k w a t a
yandifuna	y a n d i f u n a
mmwe	m m w e
by’ennimi	b y ’ e n n i m i
abalabirira	a b a l a b i r i r a
ssaalumanya	s s a a l u m a n y a
zensi	z e n s i
nefulumya	n e f u l u m y a
nagenda	n a g e n d a
suukaali	s u u k a a l i
yaweereza	y a w e e r e z a
baasuubiza	b a a s u u b i z a
bakola	b a k o l a
abatu	a b a t u
bulamu	b u l a m u
enkya	e n k y a
kawungeezi	k a w u n g e e z i
masomero	m a s o m e r o
wakategeddeko	w a k a t e g e d d e k o
agwana	a g w a n a
okubaka	o k u b a k a
baazuuliddwamu	b a a z u u l i d d w a m u
okwenyigiramu	o k w e n y i g i r a m u
kooti	k o o t i
ngennyama	n g e n n y a m a
aba	a b a
yokwewalamu	y o k w e w a l a m u
namalwaliro	n a m a l w a l i r o
omulala	o m u l a l a
town	t o w n
ebimu	e b i m u
adde	a d d e
lukokola	l u k o k o l a
abapya	a b a p y a
okutuukirira	o k u t u u k i r i r a
yekitongole	y e k i t o n g o l e
eryawamu	e r y a w a m u
kinene	k i n e n e
omukakkamu	o m u k a k k a m u
gwabantu	g w a b a n t u
asoose	a s o o s e
ekikozesa	e k i k o z e s a
omuntu	o m u n t u
twazannya	t w a z a n n y a
kinzijjukiza	k i n z i j j u k i z a
kukola	k u k o l a
sitenseni	s i t e n s e n i
kikolwa	k i k o l w a
zisobola	z i s o b o l a
olusolobyo	o l u s o l o b y o
lyafuna	l y a f u n a
kwalina	k w a l i n a
obukooti	o b u k o o t i
gabalimi	g a b a l i m i
giweebwa	g i w e e b w a
abanoonyi	a b a n o o n y i
nemicungwa	n e m i c u n g w a
abannayuganda	a b a n n a y u g a n d a
ekirwadde	e k i r w a d d e
yatandika	y a t a n d i k a
mukama	m u k a m a
buko	b u k o
alipoota	a l i p o o t a
yalwisibwa	y a l w i s i b w a
ezineetoolodde	e z i n e e t o o l o d d e
bw’akomawo	b w ’ a k o m a w o
bibiina	b i b i i n a
kyenjega	k y e n j e g a
ani	a n i
ekiku	e k i k u
bakimanye	b a k i m a n y e
kupapa	k u p a p a
bamulekwa	b a m u l e k w a
be	b e
ojjukira	o j j u k i r a
babeera	b a b e e r a
zokwawukana	z o k w a w u k a n a
korona	k o r o n a
ngeyisa	n g e y i s a
neeyisa	n e e y i s a
mpozzi	m p o z z i
unesco	u n e s c o
kukuleetera	k u k u l e e t e r a
ttawulo	t t a w u l o
amasannyalaze	a m a s a n n y a l a z e
eyeewaayo	e y e e w a a y o
kiragala	k i r a g a l a
tebannasasulwa	t e b a n n a s a s u l w a
okufumbirwa	o k u f u m b i r w a
abamadi	a b a m a d i
omumyuka	o m u m y u k a
kuteeka	k u t e e k a
omulimu	o m u l i m u
omanya	o m a n y a
nakifuura	n a k i f u u r a
obulamu	o b u l a m u
kabaka	k a b a k a
abagikozesa	a b a g i k o z e s a
baali	b a a l i
gutuuka	g u t u u k a
foomu	f o o m u
lyonna	l y o n n a
entongole	e n t o n g o l e
naluno	n a l u n o
kujja	k u j j a
ekifo	e k i f o
bwenguzi	b w e n g u z i
kiyungu	k i y u n g u
baatuyingiridde	b a a t u y i n g i r i d d e
afuuweeta	a f u u w e e t a
bateekebwa	b a t e e k e b w a
kuliko	k u l i k o
okuggalawo	o k u g g a l a w o
obuwanguzi	o b u w a n g u z i
olukumi	o l u k u m i
mazzi	m a z z i
kyakulya	k y a k u l y a
agaliraanye	a g a l i r a a n y e
egivaamu	e g i v a a m u
womwenkanonkano	w o m w e n k a n o n k a n o
zebitundu	z e b i t u n d u
ekirwadde	e k i r w a d d e
ebikwatagana	e b i k w a t a g a n a
olwebyo	o l w e b y o
kyokuzina	k y o k u z i n a
okutegekawo	o k u t e g e k a w o
siriimu	s i r i i m u
omujjwa	o m u j j w a
kusobola	k u s o b o l a
lyessanyu	l y e s s a n y u
nakkiriza	n a k k i r i z a
tebannatandika	t e b a n n a t a n d i k a
amira	a m i r a
corona	c o r o n a
ssatu	s s a t u
ntambula	n t a m b u l a
z’omukolo	z ’ o m u k o l o
kaseera	k a s e e r a
byona	b y o n a
okugezza	o k u g e z z a
ttivvi	t t i v v i
bulange	b u l a n g e
kulima	k u l i m a
kirudde	k i r u d d e
agakugira	a g a k u g i r a
okugukola	o k u g u k o l a
akantu	a k a n t u
kabonero	k a b o n e r o
bulemenga	b u l e m e n g a
okutangaavu	o k u t a n g a a v u
akyattunka	a k y a t t u n k a
lukungaana	l u k u n g a a n a
kigezo	k i g e z o
leero	l e e r o
bingi	b i n g i
okuwaana	o k u w a a n a
zokuliyirira	z o k u l i y i r i r a
bawadde	b a w a d d e
etikkidde	e t i k k i d d e
taaba	t a a b a
ebalese	e b a l e s e
baasabye	b a a s a b y e
ng’ekirala	n g ’ e k i r a l a
baawa	b a a w a
muntu	m u n t u
mangu	m a n g u
omusaala	o m u s a a l a
wabweru	w a b w e r u
mulimu	m u l i m u
abakulembeze	a b a k u l e m b e z e
akakuubagano	a k a k u u b a g a n o
yebyobufuzi	y e b y o b u f u z i
ngensimbi	n g e n s i m b i
kika	k i k a
omuserikale	o m u s e r i k a l e
ekkovu	e k k o v u
nensi	n e n s i
okutuuka	o k u t u u k a
enguudo	e n g u u d o
egisoba	e g i s o b a
obutuufu	o b u t u u f u
bagamba	b a g a m b a
ttaka	t t a k a
kintu	k i n t u
bituufu	b i t u u f u
y’abyogera	y ’ a b y o g e r a
abalunzi	a b a l u n z i
abayimbi	a b a y i m b i
okukubisibwamu	o k u k u b i s i b w a m u
manvuuli	m a n v u u l i
kusalawo	k u s a l a w o
beetaaga	b e e t a a g a
matu	m a t u
mulembe	m u l e m b e
gano	g a n o
bateekeddwa	b a t e e k e d d w a
kimu	k i m u
gomusaayi	g o m u s a a y i
abakyali	a b a k y a l i
okwanguya	o k w a n g u y a
obutakwatagana	o b u t a k w a t a g a n a
wamu	w a m u
ebintu	e b i n t u
ebyokutambula	e b y o k u t a m b u l a
kkubo	k k u b o
okutikkirwa	o k u t i k k i r w a
covid	c o v i d
kuwasa	k u w a s a
nkomerero	n k o m e r e r o
mbeera	m b e e r a
ngomulwadde	n g o m u l w a d d e
bwokubamu	b w o k u b a m u
kwomwaka	k w o m w a k a
waaliyo	w a a l i y o
ebyetongodde	e b y e t o n g o d d e
omukyala	o m u k y a l a
erongooka	e r o n g o o k a
atambule	a t a m b u l e
okutulugunyizibwa	o k u t u l u g u n y i z i b w a
muno	m u n o
otandika	o t a n d i k a
okuli	o k u l i
omwegendereza	o m w e g e n d e r e z a
ekola	e k o l a
bizinensi	b i z i n e n s i
amasomero	a m a s o m e r o
kulayira	k u l a y i r a
ekyomutawaana	e k y o m u t a w a a n a
engaba	e n g a b a
baakumujjukiranga	b a a k u m u j j u k i r a n g a
agasseeko	a g a s s e e k o
nabalenzi	n a b a l e n z i
akubiriza	a k u b i r i z a
minisitule	m i n i s i t u l e
natandika	n a t a n d i k a
bwogenda	b w o g e n d a
atawanyizibwa	a t a w a n y i z i b w a
akaseera	a k a s e e r a
omulenzi	o m u l e n z i
east	e a s t
nnyo	n n y o
malwaliro	m a l w a l i r o
obungi	o b u n g i
oluganda	o l u g a n d a
kuyingiza	k u y i n g i z a
eyamba	e y a m b a
asobola	a s o b o l a
okweteekamu	o k w e t e e k a m u
lufula	l u f u l a
mmayiro	m m a y i r o
bakambwe	b a k a m b w e
ziyisibwa	z i y i s i b w a
mwagala	m w a g a l a
okuziika	o k u z i i k a
minisita	m i n i s i t a
waggonjebwa	w a g g o n j e b w a
okusemberera	o k u s e m b e r e r a
amulindirako	a m u l i n d i r a k o
ngagguse	n g a g g u s e
wange	w a n g e
yamusaba	y a m u s a b a
bulwadde	b u l w a d d e
ebbiri	e b b i r i
ensi	e n s i
omukozi	o m u k o z i
twatuula	t w a t u u l a
neetaga	n e e t a g a
buna	b u n a
nzija	n z i j a
kiruma	k i r u m a
kansuubire	k a n s u u b i r e
bisatu	b i s a t u
kukuza	k u k u z a
banaabwe	b a n a a b w e
byetaagisa	b y e t a a g i s a
masaka	m a s a k a
abakulembeza	a b a k u l e m b e z a
buyambi	b u y a m b i
gisinga	g i s i n g a
enguzi	e n g u z i
edda	e d d a
muteesa	m u t e e s a
amayinja	a m a y i n j a
kikumi	k i k u m i
omunnyo	o m u n n y o
bulijjo	b u l i j j o
oba	o b a
gaggalawo	g a g g a l a w o
omwenge	o m w e n g e
nalubaale	n a l u b a a l e
bitono	b i t o n o
okukifunamu	o k u k i f u n a m u
buwambe	b u w a m b e
kwayongezeddwayo	k w a y o n g e z e d d w a y o
esasule	e s a s u l e
ezebbeeyi	e z e b b e e y i
bwannannyini	b w a n n a n n y i n i
banoonyerereza	b a n o o n y e r e r e z a
obukugu	o b u k u g u
oludda	o l u d d a
bigezo	b i g e z o
abakungu	a b a k u n g u
abenjawulo	a b e n j a w u l o
magezi	m a g e z i
baayo	b a a y o
mubayambeko	m u b a y a m b e k o
okukomya	o k u k o m y a
tebannazifuna	t e b a n n a z i f u n a
ogwokubba	o g w o k u b b a
tebajja	t e b a j j a
newankubadde	n e w a n k u b a d d e
kimugwanira	k i m u g w a n i r a
baakozesa	b a a k o z e s a
akuulira	a k u u l i r a
nakawangula	n a k a w a n g u l a
katonda	k a t o n d a
bonnabagaggawale	b o n n a b a g a g g a w a l e
abaakosebwa	a b a a k o s e b w a
etunuulirirwa	e t u n u u l i r i r w a
nnabadde	n n a b a d d e
mbirowoozaamu	m b i r o w o o z a a m u
ng’omukadde	n g ’ o m u k a d d e
olina	o l i n a
ebyapa	e b y a p a
okubonaabona	o k u b o n a a b o n a
budde	b u d d e
ebyensimbi	e b y e n s i m b i
gwomuntu	g w o m u n t u
amasiro	a m a s i r o
byokuziika	b y o k u z i i k a
ssenya	s s e n y a
muganzi	m u g a n z i
balwadde	b a l w a d d e
basoma	b a s o m a
zonna	z o n n a
basaana	b a s a a n a
batandise	b a t a n d i s e
nasaba	n a s a b a
ennaku	e n n a k u
royal	r o y a l
obutaliimu	o b u t a l i i m u
kampala	k a m p a l a
ekibiina	e k i b i i n a
beebuuza	b e e b u u z a
nokunoonya	n o k u n o o n y a
kaduukulu	k a d u u k u l u
abagwa	a b a g w a
byobulamu	b y o b u l a m u
erikuumiddwa	e r i k u u m i d d w a
ya	y a
enteekateeka	e n t e e k a t e e k a
abagivuganya	a b a g i v u g a n y a
yayongeddeko	y a y o n g e d d e k o
galemesezza	g a l e m e s e z z a
kulangira	k u l a n g i r a
ebya	e b y a
ekizimbe	e k i z i m b e
bafudde	b a f u d d e
bw	b w
abeera	a b e e r a
lungi	l u n g i
bwereere	b w e r e e r e
ebyokuzimba	e b y o k u z i m b a
mbi	m b i
okutambuza	o k u t a m b u z a
ebirooto	e b i r o o t o
engendo	e n g e n d o
bwaba	b w a b a
omugabo	o m u g a b o
tusaba	t u s a b a
gwejja	g w e j j a
kimuleetera	k i m u l e e t e r a
mitongole	m i t o n g o l e
gw’abakazi	g w ’ a b a k a z i
kisolo	k i s o l o
mpaayo	m p a a y o
tewakikolanga	t e w a k i k o l a n g a
bamulekwa	b a m u l e k w a
bambi	b a m b i
ajagujagu	a j a g u j a g u
be	b e
obuyinike	o b u y i n i k e
olukulu	o l u k u l u
jjangu	j j a n g u
okumala	o k u m a l a
yabadde	y a b a d d e
akakiiko	a k a k i i k o
baabadde	b a a b a d d e
nkungaana	n k u n g a a n a
ebyobuwangwa	e b y o b u w a n g w a
namagye	n a m a g y e
ssaabawolereza	s s a a b a w o l e r e z a
okusitula	o k u s i t u l a
bitongole	b i t o n g o l e
ebirungo	e b i r u n g o
olungereza	o l u n g e r e z a
ekisinga	e k i s i n g a
eddiini	e d d i i n i
enkalu	e n k a l u
yamazzi	y a m a z z i
omukomazi	o m u k o m a z i
abanafu	a b a n a f u
kyokka	k y o k k a
abasoba	a b a s o b a
tegasobola	t e g a s o b o l a
esatu	e s a t u
nsimbi	n s i m b i
engero	e n g e r o
liri	l i r i
ennyonyi	e n n y o n y i
bwamateeka	b w a m a t e e k a
eyobyobulamu	e y o b y o b u l a m u
okutwalibwa	o k u t w a l i b w a
abasomi	a b a s o m i
ebyafaayo	e b y a f a a y o
nebyennyanja	n e b y e n n y a n j a
ensobi	e n s o b i
gya	g y a
kuba	k u b a
eriwo	e r i w o
mangu	m a n g u
nzirugavu	n z i r u g a v u
tugendera	t u g e n d e r a
kwabavubuka	k w a b a v u b u k a
omukungu	o m u k u n g u
onokiyigiriza	o n o k i y i g i r i z a
abaana	a b a a n a
tteeka	t t e e k a
obubi	o b u b i
budde	b u d d e
bbunansi	b b u n a n s i
okugobererwa	o k u g o b e r e r w a
amasanyalaze	a m a s a n y a l a z e
esobozesa	e s o b o z e s a
gwabakozi	g w a b a k o z i
emuliyirire	e m u l i y i r i r e
nnagwedda	n n a g w e d d a
gwebigere	g w e b i g e r e
kumanya	k u m a n y a
toziraba	t o z i r a b a
okwanukula	o k w a n u k u l a
mukuba	m u k u b a
n’addirirwa	n ’ a d d i r i r w a
lya	l y a
tiimi	t i i m i
ge	g e
bamativu	b a m a t i v u
etundibwa	e t u n d i b w a
omuzito	o m u z i t o
laadiyo	l a a d i y o
obululu	o b u l u l u
tetulya	t e t u l y a
sisobola	s i s o b o l a
gyabwo	g y a b w o
lyabwe	l y a b w e
kikuyamba	k i k u y a m b a
alinda	a l i n d a
kyabazinga	k y a b a z i n g a
kukyusa	k u k y u s a
west	w e s t
ttendo	t t e n d o
beesabikira	b e e s a b i k i r a
essimu	e s s i m u
wadda	w a d d a
mugulansigo	m u g u l a n s i g o
ssigala	s s i g a l a
okutandika	o k u t a n d i k a
mikutu	m i k u t u
bwosukka	b w o s u k k a
bannange	b a n n a n g e
nebitundu	n e b i t u n d u
ogwokubiri	o g w o k u b i r i
okukendeeza	o k u k e n d e e z a
babuuzizza	b a b u u z i z z a
bavunaaniddwa	b a v u n a a n i d d w a
obubbi	o b u b b i
butanwa	b u t a n w a
abujje	a b u j j e
mwezi	m w e z i
mirembe	m i r e m b e
musanyufu	m u s a n y u f u
bulungi	b u l u n g i
zandikendeezezza	z a n d i k e n d e e z e z z a
beetegefu	b e e t e g e f u
ebibabudamya	e b i b a b u d a m y a
mufulume	m u f u l u m e
asinga	a s i n g a
ekitabo	e k i t a b o
kyolina	k y o l i n a
ekyaana	e k y a a n a
nnambika	n n a m b i k a
bifulumizibwa	b i f u l u m i z i b w a
okusolobya	o k u s o l o b y a
kye	k y e
agaafiiriddwako	a g a a f i i r i d d w a k o
makerere	m a k e r e r e
abamu	a b a m u
kalantiini	k a l a n t i i n i
bibiina	b i b i i n a
abalwadde	a b a l w a d d e
byonna	b y o n n a
okusika	o k u s i k a
mufumbo	m u f u m b o
nabo	n a b o
okutuusibwa	o k u t u u s i b w a
tanaaba	t a n a a b a
obwenzi	o b w e n z i
enyiriri	e n y i r i r i
bakujjanjabira	b a k u j j a n j a b i r a
akawera	a k a w e r a
gwo	g w o
amazzi	a m a z z i
omugenzi	o m u g e n z i
neyongera	n e y o n g e r a
bubaka	b u b a k a
okutendekebwa	o k u t e n d e k e b w a
era	e r a
eyeesimbyewo	e y e e s i m b y e w o
ono	o n o
abalya	a b a l y a
tetwenkanankana	t e t w e n k a n a n k a n a
kkaddiyizo	k k a d d i y i z o
ebigaaniddwa	e b i g a a n i d d w a
kwabwe	k w a b w e
kyamenvu	k y a m e n v u
ekirabo	e k i r a b o
enkwata	e n k w a t a
ebyemirundi	e b y e m i r u n d i
yakawuka	y a k a w u k a
bwa	b w a
okimanyi	o k i m a n y i
batte	b a t t e
yomwenkanonkano	y o m w e n k a n o n k a n o
ttaano	t t a a n o
yeewaddeyo	y e e w a d d e y o
kkutegeeza	k k u t e g e e z a
musajja	m u s a j j a
bukiikakkono	b u k i i k a k k o n o
balondebwa	b a l o n d e b w a
basabye	b a s a b y e
omuzannyi	o m u z a n n y i
mpanvu	m p a n v u
konsitityusoni	k o n s i t i t y u s o n i
bakansala	b a k a n s a l a
bagannemeredde	b a g a n n e m e r e d d e
sikikusuubira	s i k i k u s u u b i r a
bizinesi	b i z i n e s i
obuyigirize	o b u y i g i r i z e
mpulira	m p u l i r a
nnyonnyola	n n y o n n y o l a
ebyenjigiriza	e b y e n j i g i r i z a
bika	b i k a
okusomesa	o k u s o m e s a
baalyekanze	b a a l y e k a n z e
okola	o k o l a
nnampala	n n a m p a l a
nsaasaana	n s a a s a a n a
y’ekitontome	y ’ e k i t o n t o m e
yakubibwa	y a k u b i b w a
mbalirira	m b a l i r i r a
tusobole	t u s o b o l e
kyejjuuni	k y e j j u u n i
boludda	b o l u d d a
kyonna	k y o n n a
omubbi	o m u b b i
bokulembera	b o k u l e m b e r a
okukulaakulana	o k u k u l a a k u l a n a
mayonjo	m a y o n j o
gwokukuuma	g w o k u k u u m a
ebyabiddwa	e b y a b i d d w a
oteeka	o t e e k a
amberedewo	a m b e r e d e w o
nsimbye	n s i m b y e
okuteekawo	o k u t e e k a w o
obulimi	o b u l i m i
zaffe	z a f f e
nenkola	n e n k o l a
mwenna	m w e n n a
okuteekateeka	o k u t e e k a t e e k a
kakunyumidde	k a k u n y u m i d d e
nzikiriza	n z i k i r i z a
yonna	y o n n a
afumise	a f u m i s e
waggulu	w a g g u l u
tebagwa	t e b a g w a
akyeggyako	a k y e g g y a k o
nsi	n s i
enguzi	e n g u z i
akalango	a k a l a n g o
okwo	o k w o
ayitiwo	a y i t i w o
ayina	a y i n a
nkuba	n k u b a
kusasulwa	k u s a s u l w a
nnunda	n n u n d a
teyita	t e y i t a
nensibuko	n e n s i b u k o
ewera	e w e r a
lunaku	l u n a k u
omusuubira	o m u s u u b i r a
omunaana	o m u n a a n a
ebyeteeseteese	e b y e t e e s e t e e s e
okuyamba	o k u y a m b a
nabantu	n a b a n t u
layisinsi	l a y i s i n s i
amazima	a m a z i m a
katambi	k a t a m b i
okulwanyisa	o k u l w a n y i s a
mirimu	m i r i m u
bekinnansi	b e k i n n a n s i
lwookuna	l w o o k u n a
tutandika	t u t a n d i k a
emikutu	e m i k u t u
baana	b a a n a
olubiri	o l u b i r i
gebisolo	g e b i s o l o
kyaddondo	k y a d d o n d o
lwe	l w e
by’ennimi	b y ’ e n n i m i
nensonga	n e n s o n g a
engeri	e n g e r i
ekkulu	e k k u l u
bitwala	b i t w a l a
kwebiri	k w e b i r i
nomutemu	n o m u t e m u
tezirina	t e z i r i n a
kuyiga	k u y i g a
uganda	u g a n d a
ttiimu	t t i i m u
kibuga	k i b u g a
ebibira	e b i b i r a
libalirirwamu	l i b a l i r i r w a m u
naddala	n a d d a l a
ekikola	e k i k o l a
awe	a w e
yalumbiddwa	y a l u m b i d d w a
etambuza	e t a m b u z a
nabyo	n a b y o
amabeere	a m a b e e r e
ki	k i
emmeeme	e m m e e m e
enkulaakulana	e n k u l a a k u l a n a
okukungaanya	o k u k u n g a a n y a
kyoyagala	k y o y a g a l a
kozessa	k o z e s s a
obwana	o b w a n a
aweese	a w e e s e
bwali	b w a l i
omuzadde	o m u z a d d e
olukyasinze	o l u k y a s i n z e
yakubirizza	y a k u b i r i z z a
kuzaalibwa	k u z a a l i b w a
atatabika	a t a t a b i k a
obuva	o b u v a
tutamanyiiko	t u t a m a n y i i k o
aga	a g a
walina	w a l i n a
kolona	k o l o n a
kusoma	k u s o m a
nabakulembeze	n a b a k u l e m b e z e
entambuza	e n t a m b u z a
nzaalibwa	n z a a l i b w a
ekicupule	e k i c u p u l e
yebyobulamu	y e b y o b u l a m u
mukozi	m u k o z i
nazo	n a z o
ago	a g o
nsowe	n s o w e
abaabalonda	a b a a b a l o n d a
omubeezi	o m u b e e z i
kulaba	k u l a b a
kibuuzo	k i b u u z o
abalimi	a b a l i m i
okusaddaakibwa	o k u s a d d a a k i b w a
okubaawo	o k u b a a w o
wakwekebeza	w a k w e k e b e z a
mutendera	m u t e n d e r a
takyalaba	t a k y a l a b a
byabasawo	b y a b a s a w o
nnambogo	n n a m b o g o
kwotadde	k w o t a d d e
abakurisito	a b a k u r i s i t o
eryo	e r y o
kyaggwamu	k y a g g w a m u
oluddako	o l u d d a k o
ebinazi	e b i n a z i
bitumbuddwa	b i t u m b u d d w a
ekirala	e k i r a l a
bino	b i n o
gulina	g u l i n a
nomalako	n o m a l a k o
gyonna	g y o n n a
olumala	o l u m a l a
akatale	a k a t a l e
akakyo	a k a k y o
wampimira	w a m p i m i r a
kikyuse	k i k y u s e
yeetegese	y e e t e g e s e
ewange	e w a n g e
kizibu	k i z i b u
kitundu	k i t u n d u
tweyagalidde	t w e y a g a l i d d e
okujjumbira	o k u j j u m b i r a
ezobulabe	e z o b u l a b e
okwogera	o k w o g e r a
loole	l o o l e
embiriizi	e m b i r i i z i
lukuzibwa	l u k u z i b w a
gobwannanyini	g o b w a n n a n y i n i
emmere	e m m e r e
ngosika	n g o s i k a
ezigenda	e z i g e n d a
n’olw’ensonga	n ’ o l w ’ e n s o n g a
kibiina	k i b i i n a
tebasaanidde	t e b a s a a n i d d e
tetulina	t e t u l i n a
byenjigiriza	b y e n j i g i r i z a
okukuuma	o k u k u u m a
ebikolwa	e b i k o l w a
babiri	b a b i r i
kyannema	k y a n n e m a
sinnafuna	s i n n a f u n a
biyamba	b i y a m b a
omulabirizi	o m u l a b i r i z i
omubiri	o m u b i r i
okusibwa	o k u s i b w a
omuceere	o m u c e e r e
kwongezebwa	k w o n g e z e b w a
ziwagira	z i w a g i r a
okwogiwaza	o k w o g i w a z a
yagaana	y a g a a n a
n’afuna	n ’ a f u n a
omuli	o m u l i
okuva	o k u v a
ngeddagala	n g e d d a g a l a
kuno	k u n o
buganda	b u g a n d a
galina	g a l i n a
yamuwa	y a m u w a
ezenjawulo	e z e n j a w u l o
kitundu	k i t u n d u
nsuubira	n s u u b i r a
kkondo	k k o n d o
gyokka	g y o k k a
ebirungi	e b i r u n g i
kadde	k a d d e
nedda	n e d d a
tetwalonda	t e t w a l o n d a
bo	b o
yo	y o
fuba	f u b a
ababadde	a b a b a d d e
atandike	a t a n d i k e
y’okubukuumamu	y ’ o k u b u k u u m a m u
gw’ozaaala	g w ’ o z a a a l a
kwekisaawe	k w e k i s a a w e
omubuulizi	o m u b u u l i z i
nnakizuula	n n a k i z u u l a
okuyambibwako	o k u y a m b i b w a k o
kukweka	k u k w e k a
okuwozesa	o k u w o z e s a
kwetabiddwako	k w e t a b i d d w a k o
kusala	k u s a l a
kiwanuka	k i w a n u k a
sitanza	s i t a n z a
abalungi	a b a l u n g i
bwesomye	b w e s o m y e
kigendererwa	k i g e n d e r e r w a
ekisa	e k i s a
gajjanjaba	g a j j a n j a b a
wadde	w a d d e
beerabira	b e e r a b i r a
kutwala	k u t w a l a
empya	e m p y a
baasaba	b a a s a b a
bwabyo	b w a b y o
tegeeza	t e g e e z a
okuwa	o k u w a
mugaso	m u g a s o
tayagala	t a y a g a l a
obuyinza	o b u y i n z a
baagambye	b a a g a m b y e
ekimuggye	e k i m u g g y e
weewola	w e e w o l a
ezokunkya’	e z o k u n k y a ’
gakola	g a k o l a
omulanga	o m u l a n g a
tukuleetedde	t u k u l e e t e d d e
mwetowaze	m w e t o w a z e
tiketi	t i k e t i
ogwo	o g w o
bangi	b a n g i
guno	g u n o
emirembe	e m i r e m b e
muli	m u l i
lw’awulira	l w ’ a w u l i r a
ajjudde	a j j u d d e
mitendera	m i t e n d e r a
okwennaku	o k w e n n a k u
niddwa	n i d d w a
lino	l i n o
girina	g i r i n a
owange	o w a n g e
asukka	a s u k k a
nnyumba	n n y u m b a
olulaga	o l u l a g a
ebikozesebwa	e b i k o z e s e b w a
kumwelabira	k u m w e l a b i r a
bebirowoozo	b e b i r o w o o z o
yesimbyewo	y e s i m b y e w o
omuvubuka	o m u v u b u k a
babiri	b a b i r i
ebanjibwa	e b a n j i b w a
nsonga	n s o n g a
okuzimba	o k u z i m b a
tebasobola	t e b a s o b o l a
yokusaka	y o k u s a k a
gusobola	g u s o b o l a
bijja	b i j j a
okujaguza	o k u j a g u z a
mukuumaddamula	m u k u u m a d d a m u l a
yagasseeko	y a g a s s e e k o
yasabye	y a s a b y e
satu	s a t u
munnabusiro	m u n n a b u s i r o
